的	DE_0;DI_1;DI_4;DI_2;DI_0
刚回到	GANG_1 HUI_2 DAO_4
分解	FEN_1 JIE_3
减去	JIAN_3 QU_4
关于你	GUAN_1 YU_2 NI_3
全力	QUAN_2 LI_4
停车库	TING_2 CHE_1 KU_4
做强	ZUO_4 QIANG_2
修车	XIU_1 CHE_1
侧	CE_4;ZE_4;ZHAI_1
作对	ZUO_4 DUI_4
会话	HUI_4 HUA_4
二手	ER_4 SHOU_3;ER_4 SHOU_0
乱花	LUAN_4 HUA_1
乡镇	XIANG_1 ZHEN_4
中餐	ZHONG_1 CAN_1
两门	LIANG_3 MEN_2
两遍	LIANG_3 BIAN_4
不应	BU_4 YING_1
下方	XIA_4 FANG_1
上瘾	SHANG_4 YIN_3
上天	SHANG_4 TIAN_1
三里	SAN_1 LI_3
三路	SAN_1 LU_4
三生	SAN_1 SHENG_1
三有	SAN_1 YOU_3
三六	SAN_1 LIU_4
万元	WAN_4 YUAN_2
面授	MIAN_4 SHOU_4
非常丰富	FEI_1 CHANG_2 FENG_1 FU_4
静音	JING_4 YIN_1
门面	MEN_2 MIAN_4;MEN_2 MIAN_0
长沙市	CHANG_2 SHA_1 SHI_4
锦州	JIN_3 ZHOU_1
郑女	ZHENG_4 NV_3
轻微	QING_1 WEI_1
谈论	TAN_2 LUN_4
读的书	DU_2 DE_0 SHU_1
诧异	CHA_4 YI_4
试婚	SHI_4 HUN_1
论文	LUN_4 WEN_2
行当	HANG_2 DANG_1;HANG_2 DANG_0
营门	YING_2 MEN_2
英雄	YING_1 XIONG_2
英文名	YING_1 WEN_2 MING_2
脸红	LIAN_3 HONG_2
考点	KAO_2 DIAN_3;KAO_3 DIAN_3
继续做	JI_4 XU_4 ZUO_4
纹	WEN_4;WEN_2
秒钟	MIAO_3 ZHONG_1
睦	MU_4
直直	ZHI_2 ZHI_2
白费	BAI_2 FEI_4
疯了	FENG_1 LE_0
画一	HUA_4 YI_1
电瓶车	DIAN_4 PING_2 CHE_1
电影院	DIAN_4 YING_3 YUAN_4
申购	SHEN_1 GOU_4
瓜	GUA_1
玫瑰	MEI_2 GUI_1;MEI_2 GUI_0
玩具	WAN_2 JU_4
湘江	XIANG_1 JIANG_1
正定	ZHENG_4 DING_4
欧美	OU_1 MEI_3
来多	LAI_2 DUO_1
来信	LAI_2 XIN_4
机遇	JI_1 YU_4
未来生活	WEI_4 LAI_2 SHENG_1 HUO_2
最近很忙	ZUI_4 JIN_4 HEN_3 MANG_2
星河	XING_1 HE_2
星号	XING_1 HAO_4
早教	ZAO_3 JIAO_4
斌	BIN_1
放不开	FANG_4 BU_4 KAI_1
改在	GAI_3 ZAI_4
收款	SHOU_1 KUAN_3
攒	CUAN_2;ZAN_3
搞笑的	GAO_3 XIAO_4 DE_0
房源	FANG_2 YUAN_2
我市	WO_3 SHI_4
情情	QING_2 QING_2
快钱	KUAI_4 QIAN_2
心理咨询	XIN_1 LI_3 ZI_1 XUN_2
彭州	PENG_2 ZHOU_1
录取	LU_4 QU_3
幸福就是	XING_4 FU_2 JIU_4 SHI_4
巨蟹座	JU_4 XIE_4 ZUO_4
展开	ZHAN_3 KAI_1
尹	YIN_3
尖子	JIAN_1 ZI_3;JIAN_1 ZI_0
少女	SHAO_4 NV_3
小雪	XIAO_2 XUE_3;XIAO_3 XUE_3
小长假	XIAO_3 CHANG_2 JIA_4
小学教师	XIAO_3 XUE_2 JIAO_4 SHI_1
实验室	SHI_2 YAN_4 SHI_4
完小	WAN_2 XIAO_3
学术	XUE_2 SHU_4
好心情	HAO_3 XIN_1 QING_2
失	SHI_1;SHI_0
太极	TAI_4 JI_2
大明	DA_4 MING_2
大姨妈	DA_4 YI_2 MA_1
大坪	DA_4 PING_2
多起	DUO_1 QI_3
国有企业	GUO_2 YOU_2 QI_3 YE_4
国内外	GUO_2 NEI_4 WAI_4
国人	GUO_2 REN_2
回音	HUI_2 YIN_1
回家吃饭	HUI_2 JIA_1 CHI_1 FAN_4
喝水	HE_1 SHUI_3
商品房	SHANG_1 PIN_3 FANG_2
唠嗑	LAO_4 KE_1;LAO_4 KE_4
向阳	XIANG_4 YANG_2
后背	HOU_4 BEI_4
取决	QU_3 JUE_2
发自	FA_1 ZI_4
却是	QUE_4 SHI_4;QUE_4 SHI_0
南宁市	NAN_2 NING_2 SHI_4
华中	HUA_2 ZHONG_1
前途	QIAN_2 TU_2
初次	CHU_1 CI_4
凤凰	FENG_4 HUANG_2;FENG_4 HUANG_0
养老保险	YANG_2 LAO_2 BAO_2 XIAN_3
公告	GONG_1 GAO_4
倾诉	QING_1 SU_4
修理	XIU_1 LI_3
供应商	GONG_1 YING_4 SHANG_1
人格	REN_2 GE_2
人在北京	REN_2 ZAI_4 BEI_3 JING_1
二次	ER_4 CI_4
二十块	ER_4 SHI_2 KUAI_4
中心点	ZHONG_1 XIN_1 DIAN_3
个人生活	GE_4 REN_2 SHENG_1 HUO_2
不巧	BU_4 QIAO_3
不大不小	BU_2 DA_4 BU_4 XIAO_3
下比	XIA_4 BI_3
下店	XIA_4 DIAN_4
上海都	SHANG_4 HAI_3 DU_1
上合	SHANG_4 HE_2
三环	SAN_1 HUAN_2
三元	SAN_1 YUAN_2
一毛钱	YI_4 MAO_2 QIAN_2
一比一	YI_1 BI_3 YI_1
一中	YI_1 ZHONG_1
驾校	JIA_4 XIAO_4
预付	YU_4 FU_4
顺延	SHUN_4 YAN_2
青青	QING_1 QING_1
难以	NAN_2 YI_3
陆家嘴	LU_4 JIA_1 ZUI_3
长跑	CHANG_2 PAO_3
钢琴老师	GANG_1 QIN_2 LAO_3 SHI_1
醉了	ZUI_4 LE_0
郑小姐	ZHENG_4 XIAO_3 JIE_3
避开	BI_4 KAI_1;BI_4 KAI_0
造假	ZAO_4 JIA_3
较小	JIAO_4 XIAO_3
轮班	LUN_2 BAN_1
蹄	TI_2
起步价	QI_3 BU_4 JIA_4
贵阳银行	GUI_4 YANG_2 YIN_2 HANG_2
谷	GU_3;YU_4
请示	QING_3 SHI_4
请求	QING_3 QIU_2
裕华	YU_4 HUA_2
菲	FEI_1;FEI_3
能工	NENG_2 GONG_1
股票	GU_3 PIAO_4
老外	LAO_3 WAI_4
编程	BIAN_1 CHENG_2
终归	ZHONG_1 GUI_1
红星	HONG_2 XING_1
红军	HONG_2 JUN_1
繁琐	FAN_2 SUO_3
粤语	YUE_4 YU_3
第二部	DI_4 ER_4 BU_4
站点	ZHAN_4 DIAN_3
穿过	CHUAN_1 GUO_4
穿穿	CHUAN_1 CHUAN_1
硕	SHUO_4
石油	SHI_2 YOU_2
真话	ZHEN_1 HUA_4
相遇	XIANG_1 YU_4
爆发	BAO_4 FA_1
点烟	DIAN_3 YAN_1
潇洒	XIAO_1 SA_3
洋气	YANG_2 QI_4;YANG_2 QI_0
沙河口	SHA_1 HE_2 KOU_3
毛钱	MAO_2 QIAN_2
母婴	MU_3 YING_1
柱子	ZHU_4 ZI_3;ZHU_4 ZI_0
松山湖	SONG_1 SHAN_1 HU_2
来得	LAI_2 DE_0
有无	YOU_3 WU_2
有效率	YOU_3 XIAO_4 LV_4
有作	YOU_3 ZUO_4
晓玲	XIAO_3 LING_2
春季	CHUN_1 JI_4
无锡市	WU_2 XI_1 SHI_4
新家	XIN_1 JIA_1
新塘	XIN_1 TANG_2
救	JIU_4
改掉	GAI_3 DIAO_4
接口	JIE_1 KOU_3
掌控	ZHANG_3 KONG_4
报表	BAO_4 BIAO_3
找主	ZHAO_3 ZHU_3
我敢	WO_3 GAN_3
我懒	WO_3 LAN_3
我在哪里	WO_3 ZAI_4 NA_2 LI_3
懂礼貌	DONG_3 LI_3 MAO_4
想不通	XIANG_3 BU_4 TONG_1
惠山	HUI_4 SHAN_1
总站	ZONG_3 ZHAN_4
心愿	XIN_1 YUAN_4
很久很久	HEN_2 JIU_2 HEN_2 JIU_3
幸好	XING_4 HAO_3
平价	PING_2 JIA_4
干扰	GAN_1 RAO_3
常规	CHANG_2 GUI_1
市内	SHI_4 NEI_4
差劲	CHA_4 JIN_4
小周老师	XIAO_3 ZHOU_1 LAO_3 SHI_1
封号	FENG_1 HAO_4
家财万贯	JIA_1 CAI_2 WAN_4 GUAN_4
室内装修	SHI_4 NEI_4 ZHUANG_1 XIU_1
客家	KE_4 JIA_1
宜春	YI_2 CHUN_1
宗教	ZONG_1 JIAO_4
姨	YI_2;YI_0
奥威	AO_4 WEI_1
天蝎座	TIAN_1 XIE_1 ZUO_4
大队	DA_4 DUI_4
大体上	DA_4 TI_3 SHANG_4;DA_4 TI_3 SHANG_0
地铁线	DI_4 TIE_3 XIAN_4
地理位置	DI_4 LI_3 WEI_4 ZHI_4
圆的	YUAN_2 DE_0
回执	HUI_2 ZHI_2
回东	HUI_2 DONG_1
四大	SI_4 DA_4
商洛	SHANG_1 LUO_4
哈南	HA_3 NAN_2
周中	ZHOU_1 ZHONG_1
向来	XIANG_4 LAI_2
叶子	YE_4 ZI_0
台阶	TAI_2 JIE_1
口气	KOU_3 QI_4;KOU_3 QI_0
发火	FA_1 HUO_3
发放	FA_1 FANG_4
卧室	WO_4 SHI_4
十多万	SHI_2 DUO_1 WAN_4
勇敢	YONG_2 GAN_3;YONG_3 GAN_3
势	SHI_4;SHI_0
加盟店	JIA_1 MENG_2 DIAN_4
到头	DAO_4 TOU_2
利益冲突	LI_4 YI_4 CHONG_1 TU_1
分销	FEN_1 XIAO_1
分给	FEN_1 GEI_3
再认	ZAI_4 REN_4
养不起	YANG_3 BU_2 QI_3
先买	XIAN_1 MAI_3
健身跑	JIAN_4 SHEN_1 PAO_3
健硕	JIAN_4 SHUO_4
做运动	ZUO_4 YUN_4 DONG_4
你的脸	NI_3 DE_0 LIAN_3
你是你的	NI_3 SHI_4 NI_3 DE_0
何时	HE_2 SHI_2
人事管理	REN_2 SHI_4 GUAN_2 LI_3;REN_2 SHI_4 GUAN_3 LI_3
二座	ER_4 ZUO_4
九八年	JIU_3 BA_1 NIAN_2
中转	ZHONG_1 ZHUAN_3
两百块	LIANG_3 BAI_3 KUAI_4
东塔	DONG_1 TA_3
不享	BU_4 XIANG_3
下一站	XIA_4 YI_1 ZHAN_4;XIA_4 YI_2 ZHAN_4
上地	SHANG_4 DI_4
上南	SHANG_4 NAN_2
三阳广场	SAN_1 YANG_2 GUANG_2 CHANG_3
三九	SAN_1 JIU_3
七零后	QI_1 LING_2 HOU_4
高清	GAO_1 QING_1
高楼	GAO_1 LOU_2
马老师	MA_3 LAO_3 SHI_1
香香	XIANG_1 XIANG_1
首饰	SHOU_3 SHI_4;SHOU_3 SHI_0
飞过	FEI_1 GUO_4
问候	WEN_4 HOU_4
钢印	GANG_1 YIN_4
钢	GANG_1;GANG_4
金阳	JIN_1 YANG_2
邻家女孩	LIN_2 JIA_1 NV_3 HAI_2
遍布	BIAN_4 BU_4
近照	JIN_4 ZHAO_4
迈	MAI_4
蹦	BENG_4
读书会	DU_2 SHU_1 HUI_4
该会	GAI_1 HUI_4
试穿	SHI_4 CHUAN_1
记性	JI_4 XING_4;JI_4 XING_0
解锁	JIE_2 SUO_3
衣	YI_1;YI_4
蒸	ZHENG_1
能玩	NENG_2 WAN_2
背叛	BEI_4 PAN_4
聘	PIN_4
聊天记录	LIAO_2 TIAN_1 JI_4 LU_4
老远	LAO_2 YUAN_3;LAO_3 YUAN_3
老生	LAO_3 SHENG_1
老年	LAO_3 NIAN_2
线条	XIAN_4 TIAO_2
精英	JING_1 YING_1
管管	GUAN_2 GUAN_3
硕士学位	SHUO_4 SHI_4 XUE_2 WEI_4
省立	SHENG_3 LI_4
白忙	BAI_2 MANG_2
男男女女	NAN_2 NAN_2 NV_2 NV_3;NAN_2 NAN_2 NV_3 NV_3
生活化	SHENG_1 HUO_2 HUA_4
猎	LIE_4
牢固	LAO_2 GU_4
爱屋及乌	AI_4 WU_1 JI_2 WU_1
燕子	YAN_4 ZI_0
潮流	CHAO_2 LIU_2
游客	YOU_2 KE_4
渣	ZHA_1
涉	SHE_4
海上	HAI_3 SHANG_4;HAI_3 SHANG_0
没分	MEI_2 FEN_1
污染	WU_1 RAN_3
江边	JIANG_1 BIAN_1
每份	MEI_3 FEN_4
母爱	MU_3 AI_4
止	ZHI_3
梦想	MENG_4 XIANG_3
来访	LAI_2 FANG_3
本家	BEN_3 JIA_1
有味	YOU_3 WEI_4
旅社	LV_3 SHE_4
新概念	XIN_1 GAI_4 NIAN_4
新手	XIN_1 SHOU_3
新号	XIN_1 HAO_4
摩羯座	MO_2 JIE_2 ZUO_4
摊	TAN_1
抬	TAI_2
打野	DA_2 YE_3
我的爱	WO_3 DE_0 AI_4
我的女儿	WO_3 DE_0 NV_3 ER_2
我在路上	WO_3 ZAI_4 LU_4 SHANG_4
成天	CHENG_2 TIAN_1
很搞笑	HEN_3 GAO_3 XIAO_4
很忙很忙	HEN_3 MANG_2 HEN_3 MANG_2
张子	ZHANG_1 ZI_3
张伟	ZHANG_1 WEI_3
开场	KAI_1 CHANG_3
废	FEI_4
幸福的事	XING_4 FU_2 DE_0 SHI_4
平底鞋	PING_2 DI_3 XIE_2
常平	CHANG_2 PING_2
崩溃	BENG_1 KUI_4
小毛	XIAO_3 MAO_2
小妹妹	XIAO_3 MEI_4 MEI_4
小二	XIAO_3 ER_4
对偶	DUI_4 OU_3
客厅	KE_4 TING_1
安全保障	AN_1 QUAN_2 BAO_3 ZHANG_4
宇	YU_3
孩子他爸	HAI_2 ZI_0 TA_1 BA_4
学法	XUE_2 FA_3
大牌	DA_4 PAI_2
大成	DA_4 CHENG_2
大众化	DA_4 ZHONG_4 HUA_4
大企业	DA_4 QI_3 YE_4
基本工资	JI_1 BEN_3 GONG_1 ZI_1
围绕	WEI_2 RAO_4
回放	HUI_2 FANG_4
喜欢就好	XI_3 HUAN_1 JIU_4 HAO_3
后比	HOU_4 BI_3
后头	HOU_4 TOU_0
合格	HE_2 GE_2
各家	GE_4 JIA_1
吃苦耐劳	CHI_1 KU_3 NAI_4 LAO_2
叛逆期	PAN_4 NI_4 QI_1
卖给	MAI_4 GEI_3
华茂	HUA_2 MAO_4
十八点	SHI_2 BA_1 DIAN_3
医美	YI_1 MEI_3
化妆师	HUA_4 ZHUANG_1 SHI_1
勇	YONG_3
加强	JIA_1 QIANG_2
办公区	BAN_4 GONG_1 QU_1
凳子	DENG_4 ZI_3;DENG_4 ZI_0
共同努力	GONG_4 TONG_2 NU_3 LI_4
偏重	PIAN_1 ZHONG_4
债	ZHAI_4
佳缘	JIA_1 YUAN_2
似	SI_4;SHI_4
休闲裤	XIU_1 XIAN_2 KU_4
代办	DAI_4 BAN_4
他是谁	TA_1 SHI_4 SHUI_2
产权	CHAN_3 QUAN_2
交房	JIAO_1 FANG_2
二路	ER_4 LU_4
买来	MAI_3 LAI_2
买家	MAI_3 JIA_1
九十二	JIU_3 SHI_2 ER_4;JIU_3 SHI_0 ER_4
中秋节	ZHONG_1 QIU_1 JIE_2
中男	ZHONG_1 NAN_2
不纯	BU_4 CHUN_2
三门	SAN_1 MEN_2
三小	SAN_1 XIAO_3
七十一	QI_1 SHI_2 YI_1;QI_1 SHI_0 YI_1
一年到头	YI_4 NIAN_2 DAO_4 TOU_2
鸿	HONG_2
高知	GAO_1 ZHI_1
高峰	GAO_1 FENG_1
骨子里	GU_3 ZI_0 LI_3
鞍山	AN_1 SHAN_1
零六	LING_2 LIU_4
集训	JI_2 XUN_4
长达	CHANG_2 DA_2
酒驾	JIU_3 JIA_4
送您	SONG_4 NIN_2
连锁店	LIAN_2 SUO_3 DIAN_4
走音	ZOU_3 YIN_1
贝	BEI_4
象山	XIANG_4 SHAN_1
讲理	JIANG_2 LI_3;JIANG_3 LI_3
西裤	XI_1 KU_4
行驶	XING_2 SHI_3
薛	XUE_1
花艺	HUA_1 YI_4
花天酒地	HUA_1 TIAN_1 JIU_3 DI_4
胖胖的	PANG_4 PANG_4 DE_0;PANG_2 PANG_2 DE_0
联谊会	LIAN_2 YI_4 HUI_4
美美的	MEI_2 MEI_3 DE_0
终究	ZHONG_1 JIU_1
细说	XI_4 SHUO_1
秘密	MI_4 MI_4
私自	SI_1 ZI_4
私事	SI_1 SHI_4
短裤	DUAN_3 KU_4
知底	ZHI_1 DI_3
真真假假	ZHEN_1 ZHEN_1 JIA_2 JIA_3;ZHEN_1 ZHEN_1 JIA_3 JIA_3
电力	DIAN_4 LI_4
用于	YONG_4 YU_2
瓜葛	GUA_1 GE_2
珠海香洲	ZHU_1 HAI_3 XIANG_1 ZHOU_1
牺牲	XI_1 SHENG_1
流感	LIU_2 GAN_3
泽	ZE_2
泉港	QUAN_2 GANG_3
汉语言	HAN_4 YU_3 YAN_2
款式	KUAN_3 SHI_4
模拟	MO_2 NI_3
楠楠	NAN_2 NAN_2
来年	LAI_2 NIAN_2
机制	JI_1 ZHI_4
本质	BEN_3 ZHI_4
有点烦	YOU_2 DIAN_3 FAN_2
春	CHUN_1
无误	WU_2 WU_4
无所	WU_2 SUO_3
旋转	XUAN_2 ZHUAN_3
新天地	XIN_1 TIAN_1 DI_4
新作	XIN_1 ZUO_4
摘	ZHAI_1
指甲	ZHI_1 JIA_0;ZHI_3 JIA_2;ZHI_3 JIA_0
报纸	BAO_4 ZHI_3
抛弃	PAO_1 QI_4
打包票	DA_3 BAO_1 PIAO_4
手段	SHOU_3 DUAN_4
性情	XING_4 QING_2
思路	SI_1 LU_4
很浓	HEN_3 NONG_2
很杂	HEN_3 ZA_2
影	YING_3
当真	DANG_4 ZHEN_1
开朗阳光	KAI_1 LANG_3 YANG_2 GUANG_1
常识	CHANG_2 SHI_2
帮成	BANG_1 CHENG_2
工作流	GONG_1 ZUO_4 LIU_2
小故事	XIAO_3 GU_4 SHI_4
小弟	XIAO_3 DI_4
小众	XIAO_3 ZHONG_4
宽厚	KUAN_1 HOU_4
实地	SHI_2 DI_4
守时	SHOU_3 SHI_2
姥爷	LAO_3 YE_2
妆容	ZHUANG_1 RONG_2
好美	HAO_2 MEI_3
好办	HAO_3 BAN_4
好事多磨	HAO_3 SHI_4 DUO_1 MO_2
多工	DUO_1 GONG_1
多安	DUO_1 AN_1
回青	HUI_2 QING_1
四分	SI_4 FEN_1
嘎	GA_1;GA_2;GA_3
和善	HE_2 SHAN_4
呀呀	YA_1 YA_1
可行	KE_3 XING_2
可信度	KE_3 XIN_4 DU_4
发音	FA_1 YIN_1
南向	NAN_2 XIANG_4
卖菜	MAI_4 CAI_4
半价	BAN_4 JIA_4
十二三	SHI_2 ER_4 SAN_1
北城	BEI_3 CHENG_2
助教	ZHU_4 JIAO_4
加速	JIA_1 SU_4
分钱	FEN_1 QIAN_2
冲刺	CHONG_1 CI_4
关照	GUAN_1 ZHAO_4
公车	GONG_1 CHE_1
八号线	BA_1 HAO_4 XIAN_4
全心全意	QUAN_2 XIN_1 QUAN_2 YI_4
先知	XIAN_1 ZHI_1
偶遇	OU_3 YU_4
做茶	ZUO_4 CHA_2
偏好	PIAN_1 HAO_3
俱乐部	JU_4 LE_4 BU_4
信佛	XIN_4 FO_2
便便	BIAN_4 BIAN_4
伤口	SHANG_1 KOU_3
人性化	REN_2 XING_4 HUA_4
人在广州	REN_2 ZAI_4 GUANG_3 ZHOU_1
事理	SHI_4 LI_3
中断	ZHONG_1 DUAN_4
中国大陆	ZHONG_1 GUO_2 DA_4 LU_4
专职	ZHUAN_1 ZHI_2
不赞	BU_2 ZAN_4
不稳	BU_4 WEN_3
上半天	SHANG_4 BAN_4 TIAN_1
三层	SAN_1 CENG_2
七路	QI_1 LU_4
一千五	YI_4 QIAN_1 WU_3
魁梧	KUI_2 WU_2;KUI_2 WU_3
高端猎婚	GAO_1 DUAN_1 LIE_4 HUN_1
高目	GAO_1 MU_4
首席	SHOU_3 XI_2
馒头	MAN_2 TOU_2;MAN_2 TOU_0
饰品	SHI_4 PIN_3
非常容易	FEI_1 CHANG_2 RONG_2 YI_4
露露	LOU_4 LOU_4;LU_4 LU_4;LU_4 LU_0
雷厉风行	LEI_2 LI_4 FENG_1 XING_2
零零后	LING_2 LING_2 HOU_4
雨伞	YU_2 SAN_3;YU_3 SAN_3
雅间	YA_3 JIAN_1
随后	SUI_2 HOU_4
银座	YIN_2 ZUO_4
量身定做	LIANG_2 SHEN_1 DING_4 ZUO_4
重蹈覆辙	CHONG_2 DAO_3 FU_4 ZHE_2
里比	LI_2 BI_3
邀	YAO_1
转机	ZHUAN_3 JI_1
路痴	LU_4 CHI_1
跑外	PAO_3 WAI_4
越多越	YUE_4 DUO_1 YUE_4
起点	QI_2 DIAN_3;QI_3 DIAN_3
谅解	LIANG_4 JIE_3
访	FANG_3
言语	YAN_2 YU_3
要命	YAO_4 MING_4
装备	ZHUANG_1 BEI_4
行长	HANG_2 ZHANG_3
虾	HA_2;XIA_1
蔡甸	CAI_4 DIAN_4
自费	ZI_4 FEI_4
翘	QIAO_4;QIAO_2
精心	JING_1 XIN_1
算得	SUAN_4 DE_2;SUAN_4 DE_0
笑笑	XIAO_4 XIAO_4
立案	LI_4 AN_4
稀里糊涂	XI_1 LI_3 HU_2 TU_2;XI_1 LI_0 HU_2 TU_2
私聊	SI_1 LIAO_2
破裂	PO_4 LIE_4
石狮	SHI_2 SHI_1
皮鞋	PI_2 XIE_2
现在北京	XIAN_4 ZAI_4 BEI_3 JING_1
王乐	WANG_2 LE_4
狠心	HEN_3 XIN_1
牌照	PAI_2 ZHAO_4
爱好者	AI_4 HAO_4 ZHE_3
炸	ZHA_4;ZHA_2
溜溜	LIU_1 LIU_1
消极	XIAO_1 JI_2
注意事项	ZHU_4 YI_4 SHI_4 XIANG_4
泉州市	QUAN_2 ZHOU_1 SHI_4
没调	MO_4 TIAO_2
沈阳市	SHEN_3 YANG_2 SHI_4
民宿	MIN_2 SU_4
正事	ZHENG_4 SHI_4
椅子	YI_3 ZI_0
案件	AN_4 JIAN_4
机电	JI_1 DIAN_4
期会	QI_1 HUI_4
服务包	FU_2 WU_4 BAO_1
有思	YOU_3 SI_1
最短	ZUI_4 DUAN_3
明早	MING_2 ZAO_3
时会	SHI_2 HUI_4
旅行社	LV_3 XING_2 SHE_4
方向感	FANG_1 XIANG_4 GAN_3
新秀	XIN_1 XIU_4
新版	XIN_1 BAN_3
文和	WEN_2 HE_2
放人	FANG_4 REN_2
改期	GAI_3 QI_1
挂失	GUA_4 SHI_1
拼写	PIN_1 XIE_3
找找看	ZHAO_3 ZHAO_3 KAN_4
执照	ZHI_2 ZHAO_4
房山区	FANG_2 SHAN_1 QU_1
我超	WO_3 CHAO_1
我的老师	WO_3 DE_0 LAO_3 SHI_1
我坚持	WO_3 JIAN_1 CHI_2
我回来了	WO_3 HUI_2 LAI_2 LE_0
我做不到	WO_3 ZUO_4 BU_2 DAO_4
想得到	XIANG_3 DE_2 DAO_4;XIANG_3 DE_0 DAO_4
总裁	ZONG_3 CAI_2
忽然	HU_1 RAN_2
心理测试	XIN_1 LI_3 CE_4 SHI_4
很久以前	HEN_2 JIU_2 YI_3 QIAN_2
影响力	YING_2 XIANG_3 LI_4;YING_3 XIANG_3 LI_4
当心	DANG_1 XIN_1
廉江	LIAN_2 JIANG_1
广元	GUANG_3 YUAN_2
平和	PING_2 HE_2
常来	CHANG_2 LAI_2
巴厘岛	BA_1 LI_2 DAO_3
工作照	GONG_1 ZUO_4 ZHAO_4
山区	SHAN_1 QU_1
履行	LV_3 XING_2
小圆	XIAO_3 YUAN_2
对门	DUI_4 MEN_2
富有	FU_4 YOU_3
实践	SHI_2 JIAN_4
宝妈	BAO_3 MA_1
官二代	GUAN_1 ER_4 DAI_4
存到	CUN_2 DAO_4
妥	TUO_3
好坏	HAO_3 HUAI_4
大招	DA_4 ZHAO_1
大家好	DA_4 JIA_1 HAO_3
外科医生	WAI_4 KE_1 YI_1 SHENG_1
士女	SHI_4 NV_3
垫江	DIAN_4 JIANG_1
地勤	DI_4 QIN_2
在室	ZAI_4 SHI_4
固	GU_4
回家看看	HUI_2 JIA_1 KAN_4 KAN_4
四六	SI_4 LIU_4
嘴唇	ZUI_3 CHUN_2
喻	YU_4
吵闹	CHAO_3 NAO_4
可靠性	KE_3 KAO_4 XING_4
华南	HUA_2 NAN_2
十个月	SHI_2 GE_4 YUE_4
匹	PI_3
势力	SHI_4 LI_1;SHI_4 LI_4
别来	BIE_2 LAI_2
初衷	CHU_1 ZHONG_1
出手	CHU_1 SHOU_3
凡	FAN_2
净清	JING_4 QING_1
六十六	LIU_4 SHI_2 LIU_4;LIU_4 SHI_0 LIU_4
六十三	LIU_4 SHI_2 SAN_1;LIU_4 SHI_0 SAN_1
公元前	GONG_1 YUAN_2 QIAN_2
先向	XIAN_1 XIANG_4
元旦	YUAN_2 DAN_4
健全	JIAN_4 QUAN_2
做头	ZUO_4 TOU_2
值夜班	ZHI_2 YE_4 BAN_1
修修	XIU_1 XIU_1
会议室	HUI_4 YI_4 SHI_4
休班	XIU_1 BAN_1
他爱	TA_1 AI_4
人工费	REN_2 GONG_1 FEI_4
亲切感	QIN_1 QIE_4 GAN_3
亭	TING_2
五大	WU_3 DA_4
二十米	ER_4 SHI_2 MI_3
事事	SHI_4 SHI_4
九八	JIU_3 BA_1
临平	LIN_2 PING_2
中秋	ZHONG_1 QIU_1
个体经营	GE_4 TI_3 JING_1 YING_2
东莞市	DONG_1 GUAN_3 SHI_4
下雪	XIA_4 XUE_3
下半生	XIA_4 BAN_4 SHENG_1
上街	SHANG_4 JIE_1
一百七十	YI_4 BAI_3 QI_1 SHI_2
一不小心	YI_2 BU_4 XIAO_3 XIN_1
龙泉驿	LONG_2 QUAN_2 YI_4
齐刘海	QI_2 LIU_2 HAI_3
默契	MO_4 QI_4
骗财骗色	PIAN_4 CAI_2 PIAN_4 SE_4
骑行	QI_2 XING_2
院子	YUAN_4 ZI_3;YUAN_4 ZI_0
防晒	FANG_2 SHAI_4
门上	MEN_2 SHANG_4
郑重	ZHENG_4 ZHONG_4
违规	WEI_2 GUI_1
还有明天	HAI_2 YOU_3 MING_2 TIAN_1
过钱	GUO_4 QIAN_2
轰轰烈烈	HONG_1 HONG_1 LIE_4 LIE_4
轮廓	LUN_2 KUO_4;LUN_2 KUO_0
资阳	ZI_1 YANG_2
费心	FEI_4 XIN_1
课外	KE_4 WAI_4
请客	QING_3 KE_4
说解	SHUO_1 JIE_3
诞生	DAN_4 SHENG_1
许昌	XU_3 CHANG_1
讯	XUN_4
计费	JI_4 FEI_4
观望	GUAN_1 WANG_4;GUAN_1 WANG_0
要玩	YAO_4 WAN_2
西瓜	XI_1 GUA_1
衣食	YI_1 SHI_2
衔接	XIAN_2 JIE_1
行来	XING_2 LAI_2
蚂蚁	MA_2 YI_3;MA_3 YI_3;MA_3 YI_0
荤	HUN_1;XUN_1
自贡	ZI_4 GONG_4
胸怀	XIONG_1 HUAI_2
胜利	SHENG_4 LI_4
股	GU_3;GU_0
考前	KAO_3 QIAN_2
美团	MEI_3 TUAN_2
统招	TONG_3 ZHAO_1
粉红色	FEN_3 HONG_2 SE_4
等到了	DENG_3 DAO_4 LE_0
究	JIU_1;JIU_0
祝你幸福	ZHU_4 NI_3 XING_4 FU_2
示范	SHI_4 FAN_4
磕碰	KE_1 PENG_4;KE_1 PENG_0
相守	XIANG_1 SHOU_3
盖了	GAI_4 LE_0
百块	BAI_3 KUAI_4
百一	BAI_3 YI_1
甄	ZHEN_1
狼	LANG_2
牛仔	NIU_2 ZAI_3
滑	HUA_2
清清	QING_1 QING_1
消费水平	XIAO_1 FEI_4 SHUI_3 PING_2
泡酒	PAO_4 JIU_3
沉迷	CHEN_2 MI_2
模样	MO_2 YANG_4;MU_2 YANG_4;MU_2 YANG_0
来岁	LAI_2 SUI_4
本子	BEN_3 ZI_0
木头	MU_4 TOU_2;MU_4 TOU_0
